Timer: 0.229986
 0.000556 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 0.000000
 0.001667 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 0.000000
 0.002778 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 0.000000
 0.003889 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 0.000000
 0.005000 0.949403 -0.941630 0.929933 1.171021 1.000049 0.000000
 0.006111 0.948051 -0.938007 0.928083 1.170689 1.000052 0.000000
 0.007222 0.946093 -0.935046 0.925404 1.170207 1.000055 0.000000
 0.008333 0.943942 -0.932241 0.922462 1.169676 1.000059 0.000000
 0.009444 0.941716 -0.929448 0.919423 1.169127 1.000062 0.000000
 0.010556 0.939451 -0.926627 0.916331 1.168566 1.000066 0.000000
 0.011667 0.937155 -0.923771 0.913202 1.167997 1.000070 0.000000
 0.012778 0.934833 -0.920877 0.910039 1.167419 1.000074 0.000000
 0.013889 0.932486 -0.917947 0.906845 1.166835 1.000078 0.000000
 0.015000 0.930114 -0.914981 0.903622 1.166243 1.000082 0.000000
 0.016111 0.927721 -0.911981 0.900372 1.165645 1.000087 0.000000
 0.017222 0.925306 -0.908948 0.897096 1.165040 1.000091 0.000000
 0.018333 0.922870 -0.905883 0.893797 1.164429 1.000096 0.000000
 0.019444 0.920416 -0.902788 0.890475 1.163812 1.000101 0.000000
 0.020556 0.917944 -0.899663 0.887132 1.163189 1.000105 0.000000
 0.021667 0.915454 -0.896510 0.883770 1.162560 1.000110 0.000000
 0.022778 0.912949 -0.893330 0.880390 1.161926 1.000115 0.000000
 0.023889 0.910428 -0.890124 0.876993 1.161286 1.000121 0.000000
 0.025000 0.907893 -0.886892 0.873581 1.160642 1.000126 0.000000
 0.026111 0.905344 -0.883636 0.870154 1.159993 1.000131 0.000000
 0.027222 0.902783 -0.880356 0.866715 1.159339 1.000136 0.000000
 0.028333 0.900210 -0.877054 0.863263 1.158680 1.000142 0.000000
 0.029444 0.897627 -0.873730 0.859801 1.158018 1.000148 0.000000
 0.030556 0.895033 -0.870386 0.856330 1.157351 1.000153 0.000000
 0.031667 0.892429 -0.867021 0.852849 1.156680 1.000159 0.000000
 0.032778 0.889817 -0.863637 0.849361 1.156006 1.000165 0.000000
 0.033889 0.887196 -0.860234 0.845866 1.155327 1.000171 0.000000
 0.035000 0.884568 -0.856814 0.842365 1.154645 1.000177 0.000000
